Метрика,Милштейн,Эйлер
——— ВСЕГО ———,—,—
Кол-во тикеров (Long + Short),184,183
Общий капитал (РУБ),"90,378.11","88,500.11"
Доходность (%),-6.33%,-6.40%
Прибыль (РУБ),"-5,724.17","-5,663.17"
VaR (95%) %,-5.25%,-5.30%
CVaR (95%) %,-6.76%,-6.82%
Max Loss %,-15.73%,-15.84%
Max Gain %,14.98%,15.15%
P(profit),56.3%,56.3%
Sortino,0.1498,0.1517
Profit Factor,1.4590,1.4613
Sharpe Ratio,-3.4013,-3.3675
Время симуляции (сек),14.58,17.27
Кол-во раз вне границ [1%; 99%],101,101
Сумма РУБ вне границ [1%; 99%],"+1,082.54","+1,085.55"
——— Long (по весу капитала) ———,—,—
Кол-во тикеров,7,7
Общий капитал (РУБ),"4,661.99","4,661.99"
Доходность (%),+0.02%,+0.02%
Прибыль (РУБ),+0.84,+0.84
VaR (95%) %,-11.21%,-11.23%
CVaR (95%) %,-13.92%,-13.96%
Max Loss %,-27.58%,-27.85%
Max Gain %,40.21%,39.84%
P(profit),52.6%,52.7%
Sortino,0.1262,0.1260
Profit Factor,1.3041,1.3039
Sharpe Ratio,-0.1694,-0.1694
Кол-во раз вне границ [1%; 99%],0,0
Сумма РУБ вне границ [1%; 99%],+0.00,+0.00
——— Short (по весу капитала) ———,—,—
Кол-во тикеров,177,176
Общий капитал (РУБ),"85,716.13","83,838.13"
Доходность (%),-6.68%,-6.76%
Прибыль (РУБ),"-5,725.02","-5,664.02"
VaR (95%) %,-4.93%,-4.97%
CVaR (95%) %,-6.38%,-6.42%
Max Loss %,-15.08%,-15.18%
Max Gain %,13.60%,13.78%
P(profit),56.5%,56.5%
Sortino,0.1511,0.1531
Profit Factor,1.4675,1.4700
Sharpe Ratio,-3.5771,-3.5454
Кол-во раз вне границ [1%; 99%],101,101
Сумма РУБ вне границ [1%; 99%],"+1,082.54","+1,085.55"
